Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
03.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.00,5,"267,500","267,500"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
28.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
27.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,1,"53,500","53,500"
22.11.2024,"53.501,00",",",",","53.501,00",0.0,0,0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00",0.0,1,"53,501","53,501"
20.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
19.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
18.11.2024,"53.500,00",",",",","53.500,00",0.0,0,0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00",-2.73,10,"535,000","535,000"
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00",0.0,6,"321,000","321,000"
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00",0.0,2,"107,004","107,004"
