Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
04.12.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
03.12.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
02.12.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
29.11.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
28.11.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
27.11.2024,"36.900,00",",",",","36.900,00",0.00,0,0,"5,535,000"
26.11.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
25.11.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
22.11.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
21.11.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
20.11.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
19.11.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
18.11.2024,"36.900,00",",",",","36.900,00",0.00,0,0,0
15.11.2024,"36.900,00","36.900,00","36.900,00","36.900,00",,50,"1,845,000","1,845,000"
14.11.2024,",",",",",",",",,0,0,0
13.11.2024,",",",",",",",",,0,0,0
